メニュー名,カロリー,タンパク質,脂質,炭水化物,塩分,赤,緑,黄
天丼,799,13.2,23,127.9,1.6,0.1,0.4,9.5
サーモンサラダプレート,561,17.2,8,100.2,2.5,1,0.2,5.8
（大）辛みそ豚丼,954,38.9,22.3,139.3,2.5,3.9,0.3,7.9
（中）辛みそ豚丼,718,28.4,15.9,107.4,1.8,2.8,0.2,6.1
（小）辛みそ豚丼,511,20.1,11.1,77,1.3,1.9,0.1,4.4
（大）さらさらトン茶,811,24.9,18.1,129.3,6.8,0.7,0.2,9.1
（中）さらさらトン茶,582,17.6,12.1,95.3,5.6,0.5,0.2,6.5
（小）さらさらトン茶,349,10,6,60.6,3.5,0.2,0.2,3.9
（大）チキン竜田丼,1178,33.2,46.2,148.7,4,3.9,0,10.4
（中）チキン竜田丼,901,25.2,34.7,115.3,3.1,2.9,0,8
（小）チキン竜田丼,623,17.2,23.1,81.9,2.1,1.9,0,5.6
ハンバーグステーキ丼,880,30.6,31.4,109.2,2.7,2.4,0.2,8.5
（大）スタミナ焼肉丼,934,38.5,21.6,136.5,1.7,3.9,0.5,7.3
（中）スタミナ焼肉丼,704,28.2,15.4,105.4,1.2,2.8,0.4,5.7
（小）スタミナ焼肉丼,501,19.9,10.8,75.7,0.8,1.9,0.3,4.1
（大）ネギ塩唐揚げ丼,964,27.7,21.6,154.3,3.2,2.5,0.1,9.5
（中）ネギ塩唐揚げ丼,752,21.9,16.7,120.3,2.3,2,0.1,7.4
（小）ネギ塩唐揚げ丼,540,16.2,11.8,86.3,1.4,1.5,0,5.2
鮭丼,553,18.5,7.1,97.8,2.6,1.4,0,5.5
かき揚げ天丼（小エビ入り）,829,12.3,29.3,122.6,1.7,0.1,0.3,10
（大）鶏そぼろ丼,780,24.7,11,134.6,1.9,1.8,0.1,8.2
（中）鶏そぼろ丼,622,20.1,9.2,106,1.6,1.5,0.1,6.5
（小）鶏そぼろ丼,424,12.9,5.5,74.7,0.9,0.9,0.1,4.5
（大）蒸し鶏の和風ねばねば丼,749,27,6.1,139.9,3.2,1.4,0.9,7.1
（中）蒸し鶏の和風ねばねば丼,595,21.9,6,107.9,2.3,1.3,0.6,5.5
（小）蒸し鶏の和風ねばねば丼,450,17.5,5.9,77.4,1.7,1.2,0.5,4
（大）中華旨煮丼,899,21.8,16.9,126.9,3.2,1.5,0.2,9.5
（中）中華旨煮丼,691,16.6,12.7,98.9,2.4,1.1,0.2,7.3
（小）中華旨煮丼,484,11.5,8.4,70.8,1.6,0.8,0.1,5.2
かつお旨辛漬け丼,557,27.1,1.5,101.8,1.9,1.4,0,5.9
（大）カレーライス,738,15.5,11.4,138.2,4.8,0.5,0.1,8.9
（中）カレーライス,579,12.2,9,108.3,4,0.4,0.1,7
（小）カレーライス,440,9.5,7.8,80.4,3.6,0.3,0.1,5.3
（大）ヒレカツカレー,1098,30.3,34.3,160.3,6,1.2,0.1,12.5
（中）ヒレカツカレー,819,22,24.3,123,4.8,0.8,0.1,9.4
（小）ヒレカツカレー,560,14.4,15.4,87.8,4,0.6,0.1,6.5
（大）カツカレー,1059,25.7,35.1,152.9,5.5,2,0.1,11.7
（中）カツカレー,900,22.4,32.7,123,4.7,1.9,0.1,9.7
（小）カツカレー,761,19.7,31.5,95.1,4.3,1.8,0.1,8
（大）唐揚げカレー,1021,29.7,25.3,161.2,5.9,2.5,0.1,10.5
（中）唐揚げカレー,791,22.8,19.4,125.6,4.8,1.9,0.1,8.1
（小）唐揚げカレー,581,16.6,14.8,91.8,4.1,1.3,0.1,6
