メニュー名,カロリー,タンパク質,脂質,炭水化物,塩分,赤,緑,黄
冷やし中華,571,19.2,10.8,98.9,5.7,1.3,0,6.2
（大）冷やし担々麺,881,30.8,25.9,133.9,5.8,0.6,1.2,8.5
冷やし担々麺,690,24.2,24.9,94.6,5.5,0.6,1.2,6.2
（大）味噌ラーメン,831,33.4,18,136.4,8.2,0.5,0.5,8.6
味噌ラーメン,642,25.7,17.5,98,7.9,0.5,0.5,6.4
（大）濃厚煮干しラーメン,880,32.6,28.5,123.6,8,1,0.1,9.1
濃厚煮干しラーメン,690,24.8,27.9,85.2,7.6,1,0.1,6.9
（大）醬油ラーメン,765,30.4,16.7,124,6.8,0.7,0.1,8
醬油ラーメン,575,22.7,16.1,85.6,6.4,0.7,0.1,5.8
（大）辛味噌ラーメン,919,32.4,29.3,131,8.6,0.7,0.3,9.8
辛味噌ラーメン,729,24.7,28.7,92.6,8.2,0.7,0.3,7.7
（大）冷やしラーメン,750,27.2,8.6,143.6,7.2,0.5,0.1,8.8
冷やしラーメン,559,20.6,7.7,104.4,6.9,0.5,0.1,6.4
（大）かけそば,443,17.4,2.1,91.9,4.5,0,0,5.3
かけそば,307,12.1,1.4,63.8,4.5,0,0,3.6
（大）釜玉そば,643,25.5,17.8,89.8,2.6,1,0.1,6.6
釜玉そば,507,20.2,17.1,61.7,2.6,1,0.1,4.9
（大）かき揚げそば,662,19.3,20.5,102.9,4.6,0,0.3,7.7
かき揚げそば,526,14,19.8,74.8,4.6,0,0.3,6.1
（大）カレーそば,632,23.1,14.1,109.2,6.2,0.5,0,7.5
カレーそば,496,17.8,13.4,81.1,6.2,0.5,0,5.8
（大）ざるそば,583,23.5,2.9,120.3,3.4,0,0.1,7.1
ざるそば,447,18.2,2.2,92.2,3.4,0,0.1,5.4
（大）きつねそば,607,26,10.4,106,5.5,1.5,0.1,5.7
きつねそば,471,20.7,9.7,77.9,5.5,1.5,0.1,4.1
（大）ワカメそば,492,20,5.1,97.2,7.6,0,0.1,5.6
ワカメそば,356,14.7,4.4,69.1,7.6,0,0.1,3.9
（大）揚げ鶏おろしうどん（冷）,766,23.9,17.8,126.7,5.6,0.6,0.2,7.4
揚げ鶏おろしうどん（冷）,609,20.7,17.4,91.8,4.9,0.6,0.2,5.8
（大）かけうどん,492,11.3,1.1,109,6.1,0,0,5.2
かけうどん,336,8,0.8,74.1,5.5,0,0,3.5
（大）釜玉うどん,704,19.3,16.8,110.2,4.5,1,0.1,6.5
釜玉うどん,548,16.1,16.5,75.3,3.9,1,0.1,4.9
（大）かき揚げうどん,711,13.1,19.5,120,6.2,0,0.3,7.7
かき揚げうどん,555,9.9,19.1,85.1,5.5,0,0.3,6
（大）カレーうどん,693,17,13.1,129.6,8.1,0.5,0,7.4
カレーうどん,537,13.7,12.8,94.7,7.5,0.5,0,5.8
（大）ざるうどん,665,15.3,1.6,147.5,5.9,0,0.1,7.1
ざるうどん,508,12,1.2,112.6,5.3,0,0.1,5.4
（大）きつねうどん,656,19.8,9.5,123.1,7.1,1.5,0.1,5.7
きつねうどん,500,16.6,9.1,88.2,6.4,1.5,0.1,4
（大）ワカメうどん,541,13.8,4.1,114.3,9.1,0,0.1,5.5
ワカメうどん,385,10.6,3.8,79.4,8.5,0,0.1,3.9
