メニュー名,カロリー,タンパク質,脂質,炭水化物,塩分,赤,緑,黄
チキンおろしダレ,269,23.5,15.5,6.2,1.1,2.7,0.1,0.2
若鶏の唐揚げ,361,18.1,17.4,30.8,1.4,2.5,0.1,1.9
油淋鶏（ユーリンチー）,217,15,11.1,27.3,3.1,0.8,0.1,2.5
チキンカツカレーソース,365,17,23.9,20.8,2.5,2,0.2,2.7
クリームチーズ入りメンチ,487,14.3,33.3,31,1.3,1,0.2,4.9
ネギ塩とんかつ,332,10.5,22.1,22.1,2,0.5,0.2,3.4
アジの大葉フライ,284,12.2,16.5,20.9,0.5,0.7,0.1,2.8
チキン南蛮,432,14.9,26.1,33,3.3,0.8,0.1,4.3
チキン照り焼きソース,294,24,15.5,12,1.7,2.7,0.1,0.5
チキン塩ダレ,295,23.3,18.3,6.6,1.7,2.7,0.1,0.6
おろしロースカツ,354,10.9,23.7,23.2,1.6,1.5,0.2,3
おろしハンバーグ,269,13.6,17.2,15.4,1.8,1.5,0.2,1.9
塩だれハンバーグ,295,13.4,20,15.8,2.4,1.5,0.2,2.3
グレイビーハンバーグ,281,13.8,17.4,17.6,2.4,1.5,0.2,2.1
白身魚フライ（タルタル）,464,11.8,32.3,28,1.2,0.5,0.1,5.1
豚しょうが焼き,262,20.4,15,10,1.4,2.8,0.3,0.3
豚キムチ炒め,183,12.6,7.6,15.5,1.8,1.4,0.4,0.3
豚肉のウスターソース炒め,275,20.4,15,13,1.6,2.8,0.3,0.4
豚しゃぶ胡麻だれ,377,14.2,31.2,8.8,1.6,1.8,0.1,2.7
ハンバーグ（おろし）,239,14.9,14.1,12,1.6,1.5,0.1,1.1
ハンバーグ（塩だれ）,265,14.7,16.9,12.4,2.2,1.5,0.1,1.5
ハンバーグ（グレイビー）,251,15.1,14.3,14.2,2.2,1.5,0.1,1.3
おろし唐揚げ,229,10.8,10.4,21.5,1.4,1.5,0.1,1.3
ぶり照り煮,179,13.3,10.8,5.4,1,2,0,0.3
サバ塩焼き,319,16.9,26.3,0.4,2.3,2.7,0,0
アジのエスカベッシュ,425,9.5,33.4,19.7,1,1.4,0.1,4.6
マーボー豆腐,160,9.9,9.5,9,1.9,1.1,0,0.7
チキンチーズカツ,243,11,16.2,12.9,0.6,1.1,0,2.2
フライドチキン,265,11.8,21.4,6,0.9,2.1,0,1.7
マーボー茄子,146,2.9,11.7,7.9,1.3,0.1,0.2,1.4
厚揚げと白菜のすき煮,128,7.2,6.3,12.2,0.8,0.7,0.2,0.3
パリパリ春巻き,300,3.8,22.2,21,0.9,0,0.1,3.8
旨辛豆腐,112,10.7,3.9,11,1.5,0.9,0.1,0.3
バンバンジー豆腐,130,10.2,7.7,7.9,1.1,0.9,0.2,0.5
オクラの巣ごもりたまご,115,8.4,6.4,6.1,0.9,1,0.2,0.2
厚切りハムカツ,257,7.8,15.8,19.7,1.6,0.4,0,2.8
あじフライ,321,9.4,24,14.4,0.6,1.4,0,3.4
イカフライ,208,9.5,12,14,0.8,0.6,0,3.2
かぼちゃコロッケ,236,2.2,14.3,24.2,0.6,0,0.6,2.4
ほうれん草の巣ごもりたまご,111,8.9,6.6,3.5,0.7,1,0.1,0.2
肉じゃが,132,6.5,3.8,16.5,1.1,0.7,0.8,0.2
くずし肉豆腐,136,10.1,6.8,8.8,1,1.3,0.1,0.3
夏の惣菜トリオ,83,2.5,2.5,14,0.7,0.1,0.3,0.2
揚げだし豆腐,183,6.3,10,17.5,0.8,0.9,1.1,1.4
十勝牛とろコロッケ,218,3.6,15.1,16.3,0.5,0.2,0.3,2.3
蔵王クリーミーコロッケ（カニ入り）,263,2.9,21.4,13.9,0.6,0,0,3.2
白身魚フライ,229,5.5,16.7,12.4,0.5,0.2,0,2.6
揚げ豆腐（野菜あん）,202,6.8,10.6,20.5,0.8,0.9,0.1,1.6
スパイシーポテト,190,2,8,26,1,0,0.6,1.8
