メニュー名,カロリー,タンパク質,脂質,炭水化物,塩分,赤,緑,黄
薩摩ハーブ鶏のレバー煮,81,9.4,1.3,8.1,1.3,0.6,0,0.4
ハッシュポテト,119,1.1,5.9,15.5,0.5,0,0.5,1
いももち,198,0.8,10.7,24.3,0.5,0.1,0.2,1.5
とろろ,37,1.1,0,8.3,0.3,0,0.4,0
15品目のヘルシーサラダ,85,1.5,6.5,5,0.5,0,0.4,0.7
おからの彩りサラダ,95,4,5.5,7.5,1,0.4,0.3,0.3
こうなごの南蛮漬け,77,4.2,4.3,5.1,0.7,0.3,0,0.6
煮卵,76,6.6,4.8,1.7,0.6,0.5,0,0.5
半熟卵,83,6.8,5.7,0.2,0.2,1,0,0
オクラのお浸し,18,1.2,0,4.6,0.3,0,0.2,0
ほうれん草ゴマあえ,28,2.1,1,3.3,0.5,0,0.1,0.2
ひじき煮,52,1.6,1.6,7.2,0.8,0.2,0.2,0.1
きんぴらごぼう,43,0.7,1.8,6.1,0.4,0,0.2,0.3
冷奴,53,5.3,3.5,2,0,0.7,0,0
カボチャ煮,61,1.1,0,14.3,0.6,0,0.3,0.3
パンプキンサラダ,100,1.5,7,8,0.5,0,0.2,0.8
揚げ餃子,74,2.7,2.7,9.3,0.3,0.1,0,0.7
竹輪の磯部揚げ,102,5.4,6.2,5.9,0.9,0.2,0,1.1
レンコンきんぴら,48,0.8,1.2,9.2,0.8,0,0.3,0.3
切干大根,112,2.4,0.4,27.2,0.4,0.2,0.5,0.1
ほうれん草のおひたし,12,1.9,0,1.5,0,0,0.1,0
野菜生活100,33,0.4,0,8.1,0.2,0,0.4,0
マカロニサラダ,85,2,6,6,0.5,0,0,1.1
春雨サラダ（しそ風味）,30,0.5,0,7,1,0,0.1,1.4
大根おろし,7,0,0,2.9,0,0,0.2,0
アジアンビーフンサラダ,50,1.9,0.6,10.6,0.6,0.2,0.1,0.9
ツナサラダ,76,6.3,4.1,4.2,0.6,0.8,0.2,0
ポテト＆コーンサラダ,75,1.7,3.8,9.5,0.6,0,0.7,0.3
